id,date,type,price,amount,strike,expiry,option_type
16306,2023-04-26 20:05:00.110,a,0.0315,3.8,28500.0,12MAY23,C
16304,2023-04-26 20:05:00.110,a,0.0305,23.0,28500.0,12MAY23,C
16302,2023-04-26 20:05:00.110,b,0.0275,25.8,28500.0,12MAY23,C
16303,2023-04-26 20:05:00.110,b,0.0265,2.7,28500.0,12MAY23,C
16305,2023-04-26 20:05:00.110,a,0.031,4.0,28500.0,12MAY23,C
16307,2023-04-26 20:05:00.110,a,0.032,3.8,28500.0,12MAY23,C
16308,2023-04-26 20:05:00.110,a,0.033,4.1,28500.0,12MAY23,C
10732,2023-04-26 20:05:00.140,b,0.0335,26.4,28000.0,12MAY23,C
10733,2023-04-26 20:05:00.140,b,0.0325,3.3,28000.0,12MAY23,C
10734,2023-04-26 20:05:00.140,a,0.037,23.0,28000.0,12MAY23,C
10735,2023-04-26 20:05:00.140,a,0.038,5.9,28000.0,12MAY23,C
10737,2023-04-26 20:05:00.140,a,0.04,2.3,28000.0,12MAY23,C
10736,2023-04-26 20:05:00.140,a,0.0385,3.7,28000.0,12MAY23,C
17751,2023-04-26 20:05:00.321,a,0.0395,23.0,27000.0,12MAY23,P
17750,2023-04-26 20:05:00.321,b,0.0345,7.3,27000.0,12MAY23,P
17749,2023-04-26 20:05:00.321,b,0.035,26.7,27000.0,12MAY23,P
17748,2023-04-26 20:05:00.321,b,0.0355,3.6,27000.0,12MAY23,P
17752,2023-04-26 20:05:00.321,a,0.0405,2.6,27000.0,12MAY23,P
17753,2023-04-26 20:05:00.321,a,0.041,2.6,27000.0,12MAY23,P
17896,2023-04-26 20:05:00.466,a,0.077,6.0,28500.0,12MAY23,P
17895,2023-04-26 20:05:00.466,b,0.0595,6.0,28500.0,12MAY23,P
18767,2023-04-26 20:05:02.017,a,0.0115,32.8,31000.0,12MAY23,C
18766,2023-04-26 20:05:02.017,b,0.0095,33.5,31000.0,12MAY23,C
18765,2023-04-26 20:05:02.017,b,0.01,5.3,31000.0,12MAY23,C
18768,2023-04-26 20:05:02.017,a,0.012,8.0,31000.0,12MAY23,C
4699,2023-04-26 20:05:02.034,b,0.0975,4.0,31000.0,12MAY23,P
4700,2023-04-26 20:05:02.034,a,0.1875,4.0,31000.0,12MAY23,P
3017,2023-04-26 20:05:02.459,b,0.051,23.0,27000.0,12MAY23,C
3018,2023-04-26 20:05:02.459,b,0.049,6.7,27000.0,12MAY23,C
3019,2023-04-26 20:05:02.459,a,0.09,7.0,27000.0,12MAY23,C
3022,2023-04-26 20:05:03.564,a,0.056,6.7,27000.0,12MAY23,C
3020,2023-04-26 20:05:03.564,b,0.051,23.0,27000.0,12MAY23,C
3021,2023-04-26 20:05:03.564,b,0.049,6.7,27000.0,12MAY23,C
10570,2023-04-26 20:05:03.982,a,0.0155,31.6,25000.0,12MAY23,P
10569,2023-04-26 20:05:03.982,a,0.015,5.6,25000.0,12MAY23,P
10568,2023-04-26 20:05:03.982,a,0.0145,6.0,25000.0,12MAY23,P
10567,2023-04-26 20:05:03.982,b,0.012,4.1,25000.0,12MAY23,P
10566,2023-04-26 20:05:03.982,b,0.013,12.1,25000.0,12MAY23,P
12326,2023-04-26 20:05:04.332,a,0.02,3.6,25500.0,12MAY23,P
12325,2023-04-26 20:05:04.332,a,0.0195,4.3,25500.0,12MAY23,P
