Type;Strike;Bid;Ask;Date;Time
Call;97.50;0.05;0.15;02/19/2021;18:57:03
Call;95.00;0.10;0.20;02/19/2021;18:57:03
Call;94.00;0.15;0.25;02/19/2021;18:57:03
Call;93.00;0.20;0.30;02/19/2021;18:57:03
Call;92.50;0.25;0.35;02/19/2021;18:57:03
Call;92.00;0.25;0.40;02/19/2021;18:57:03
Call;91.00;0.35;0.50;02/19/2021;18:57:03
Call;90.00;0.50;0.65;02/19/2021;18:57:03
Call;89.00;0.65;0.80;02/19/2021;18:57:03
Call;88.00;0.85;1.00;02/19/2021;18:57:03
Call;87.50;0.95;1.10;02/19/2021;18:57:03
Call;87.00;1.10;1.25;02/19/2021;18:57:03
Call;86.00;1.35;1.55;02/19/2021;18:57:03
Call;85.00;1.70;1.90;02/19/2021;18:57:03
Call;84.00;2.10;2.30;02/19/2021;18:57:03
Call;83.00;2.60;2.75;02/19/2021;18:57:03
Call;82.50;2.85;3.05;02/19/2021;18:57:03
Call;82.00;3.15;3.30;02/19/2021;18:57:03
Call;81.00;3.75;3.90;02/19/2021;18:57:03
Call;80.00;4.40;4.60;02/19/2021;18:57:03
Call;79.00;5.10;5.30;02/19/2021;18:57:03
Call;78.50;5.50;5.70;02/19/2021;18:57:03
Call;78.00;5.90;6.10;02/19/2021;18:57:03
Call;77.50;6.10;6.65;02/19/2021;18:57:03
Call;77.00;6.50;7.10;02/19/2021;18:57:03
Call;76.50;6.85;7.50;02/19/2021;18:57:03
Call;76.00;7.30;7.95;02/19/2021;18:57:03
Call;75.50;7.70;8.40;02/19/2021;18:57:03
Call;75.00;8.15;8.80;02/19/2021;18:57:03
Call;74.00;9.05;9.70;02/19/2021;18:57:03
Call;73.00;9.95;10.65;02/19/2021;18:57:03
Call;72.50;10.40;11.10;02/19/2021;18:57:03
Call;72.00;10.90;11.55;02/19/2021;18:57:03
Call;71.00;11.85;12.50;02/19/2021;18:57:03
Call;70.00;12.80;13.50;02/19/2021;18:57:03
Call;69.00;13.75;14.45;02/19/2021;18:57:03
Call;68.00;14.70;15.40;02/19/2021;18:57:03
Call;67.50;15.20;15.90;02/19/2021;18:57:03
Call;67.00;15.70;16.40;02/19/2021;18:57:03
Call;66.00;16.65;17.35;02/19/2021;18:57:03
Call;65.00;17.65;18.35;02/19/2021;18:57:03
Call;64.00;18.60;19.35;02/19/2021;18:57:03
Call;63.00;19.60;20.35;02/19/2021;18:57:03
Call;62.50;20.10;20.85;02/19/2021;18:57:03
Call;62.00;20.60;21.30;02/19/2021;18:57:03
Call;61.00;21.55;22.30;02/19/2021;18:57:03
Call;60.00;22.55;23.30;02/19/2021;18:57:03
Call;59.00;23.55;24.30;02/19/2021;18:57:03
Call;58.00;24.55;25.30;02/19/2021;18:57:03
Call;57.50;25.05;25.80;02/19/2021;18:57:03
Call;57.00;25.55;26.30;02/19/2021;18:57:03
Call;56.00;26.50;27.25;02/19/2021;18:57:03
Call;55.00;27.50;28.25;02/19/2021;18:57:03
Call;54.00;28.50;29.25;02/19/2021;18:57:03
Call;53.00;29.50;30.25;02/19/2021;18:57:03
Call;52.50;30.00;30.75;02/19/2021;18:57:03
Call;52.00;30.50;31.25;02/19/2021;18:57:03
Call;51.00;31.50;32.25;02/19/2021;18:57:03
Call;50.00;32.50;33.25;02/19/2021;18:57:03
Put;105.00;21.15;23.30;02/19/2021;18:57:03
Put;102.50;18.75;20.60;02/19/2021;18:57:03
Put;100.00;16.40;18.10;02/19/2021;18:57:03
Put;97.50;14.05;15.45;02/19/2021;18:57:03
Put;95.00;11.95;12.70;02/19/2021;18:57:03
Put;94.00;11.05;11.70;02/19/2021;18:57:03
Put;93.00;10.10;10.75;02/19/2021;18:57:03
Put;92.50;9.65;10.30;02/19/2021;18:57:03
Put;92.00;9.15;9.85;02/19/2021;18:57:03
Put;91.00;8.25;8.95;02/19/2021;18:57:03
Put;90.00;7.40;8.05;02/19/2021;18:57:03
Put;89.00;6.55;7.25;02/19/2021;18:57:03
Put;88.00;5.95;6.15;02/19/2021;18:57:03
Put;87.50;5.60;5.80;02/19/2021;18:57:03
Put;87.00;5.20;5.40;02/19/2021;18:57:03
Put;86.00;4.50;4.70;02/19/2021;18:57:03
Put;85.00;3.85;4.05;02/19/2021;18:57:03
Put;84.00;3.25;3.45;02/19/2021;18:57:03
Put;83.00;2.75;2.95;02/19/2021;18:57:03
Put;82.50;2.50;2.70;02/19/2021;18:57:03
Put;82.00;2.30;2.45;02/19/2021;18:57:03
Put;81.00;1.90;2.05;02/19/2021;18:57:03
Put;80.00;1.55;1.70;02/19/2021;18:57:03
Put;79.00;1.30;1.45;02/19/2021;18:57:03
Put;78.50;1.15;1.30;02/19/2021;18:57:03
Put;78.00;1.05;1.20;02/19/2021;18:57:03
Put;77.50;0.95;1.10;02/19/2021;18:57:03
Put;77.00;0.85;1.00;02/19/2021;18:57:03
Put;76.50;0.80;0.95;02/19/2021;18:57:03
Put;76.00;0.70;0.85;02/19/2021;18:57:03
Put;75.50;0.65;0.80;02/19/2021;18:57:03
Put;75.00;0.60;0.70;02/19/2021;18:57:03
Put;74.00;0.50;0.60;02/19/2021;18:57:03
Put;73.00;0.40;0.55;02/19/2021;18:57:03
Put;72.50;0.40;0.50;02/19/2021;18:57:03
Put;72.00;0.35;0.45;02/19/2021;18:57:03
Put;71.00;0.30;0.40;02/19/2021;18:57:03
Put;70.00;0.25;0.35;02/19/2021;18:57:03
Put;69.00;0.20;0.30;02/19/2021;18:57:03
Put;68.00;0.15;0.30;02/19/2021;18:57:03
Put;67.50;0.15;0.25;02/19/2021;18:57:03
Put;67.00;0.15;0.25;02/19/2021;18:57:03
Put;66.00;0.10;0.25;02/19/2021;18:57:03
Put;65.00;0.10;0.20;02/19/2021;18:57:03
Put;64.00;0.05;0.20;02/19/2021;18:57:03
Put;63.00;0.05;0.20;02/19/2021;18:57:03
Put;62.50;0.05;0.20;02/19/2021;18:57:03
Put;62.00;0.05;0.15;02/19/2021;18:57:03
Put;61.00;0.05;0.15;02/19/2021;18:57:03
Put;60.00;0.05;0.15;02/19/2021;18:57:03
