Strike;IV;
36.915566;0.993415;
37.019178;0.992577;
37.123081;0.991738;
37.227275;0.990898;
37.331762;0.990058;
37.436543;0.989218;
37.541617;0.988376;
37.646986;0.987535;
37.752652;0.986692;
37.858613;0.985849;
37.964872;0.985005;
38.071430;0.984161;
38.178286;0.983316;
38.285442;0.982471;
38.392899;0.981625;
38.500658;0.980778;
38.608719;0.979931;
38.717084;0.979083;
38.825752;0.978234;
38.934726;0.977385;
39.044005;0.976535;
39.153591;0.975685;
39.263485;0.974834;
39.373687;0.973982;
39.484199;0.973130;
39.595020;0.972277;
39.706153;0.971424;
39.817598;0.970570;
39.929355;0.969715;
40.041426;0.968859;
40.153812;0.968004;
40.266513;0.967147;
40.379530;0.966290;
40.492865;0.965432;
40.606518;0.964573;
40.720489;0.963714;
40.834781;0.962854;
40.949393;0.961994;
41.064327;0.961133;
41.179584;0.960271;
41.295164;0.959409;
41.411069;0.958546;
41.527299;0.957683;
41.643855;0.956818;
41.760738;0.955954;
41.877949;0.955088;
41.995490;0.954222;
42.113360;0.953355;
42.231561;0.952488;
42.350093;0.951620;
42.468959;0.950751;
42.588158;0.949882;
42.707692;0.949012;
42.827561;0.948141;
42.947766;0.947270;
43.068309;0.946398;
43.189191;0.945525;
43.310411;0.944652;
43.431972;0.943778;
43.553874;0.942904;
43.676118;0.942029;
43.798706;0.941153;
43.921637;0.940276;
44.044913;0.939399;
44.168536;0.938521;
44.292505;0.937643;
44.416822;0.936764;
44.541488;0.935884;
44.666505;0.935003;
44.791872;0.934122;
44.917590;0.933240;
45.043662;0.932358;
45.170088;0.931475;
45.296868;0.930591;
45.424005;0.929706;
45.551498;0.928821;
45.679349;0.927936;
45.807558;0.927049;
45.936128;0.926162;
46.065059;0.925274;
46.194351;0.924386;
46.324006;0.923496;
46.454025;0.922607;
46.584409;0.921716;
46.715160;0.920825;
46.846277;0.919933;
46.977762;0.919040;
47.109616;0.918147;
47.241840;0.917253;
47.374435;0.916359;
47.507403;0.915463;
47.640743;0.914567;
47.774458;0.913671;
47.908548;0.912773;
48.043015;0.911875;
48.177859;0.910977;
48.313081;0.910077;
48.448683;0.909177;
48.584666;0.908276;
48.721030;0.907375;
48.857777;0.906473;
48.994908;0.905570;
49.132424;0.904666;
49.270325;0.903762;
49.408614;0.902857;
49.547291;0.901951;
49.686357;0.901045;
49.825813;0.900138;
49.965661;0.899230;
50.105902;0.898322;
50.246536;0.897412;
50.387564;0.896503;
50.528989;0.895592;
50.670810;0.894681;
50.813030;0.893769;
50.955648;0.892856;
51.098667;0.891943;
51.242088;0.891029;
51.385911;0.890114;
51.530137;0.889198;
51.674769;0.888282;
51.819806;0.887365;
51.965250;0.886447;
52.111103;0.885529;
52.257365;0.884610;
52.404038;0.883690;
52.551122;0.882770;
52.698619;0.881848;
52.846530;0.880927;
52.994856;0.880004;
53.143599;0.879081;
53.292758;0.878156;
53.442337;0.877232;
53.592336;0.876306;
53.742755;0.875380;
53.893597;0.874453;
54.044862;0.873525;
54.196551;0.872597;
54.348667;0.871668;
54.501209;0.870738;
54.654179;0.869807;
54.807579;0.868876;
54.961409;0.867944;
55.115671;0.867011;
55.270366;0.866077;
55.425496;0.865143;
55.581060;0.864208;
55.737062;0.863272;
55.893501;0.862336;
56.050379;0.861399;
56.207697;0.860461;
56.365457;0.859522;
56.523660;0.858583;
56.682307;0.857643;
56.841399;0.856702;
57.000938;0.855760;
57.160925;0.854818;
57.321360;0.853875;
57.482246;0.852931;
57.643583;0.851987;
57.805374;0.851042;
57.967618;0.850096;
58.130318;0.849149;
58.293474;0.848201;
58.457088;0.847253;
58.621162;0.846304;
58.785696;0.845354;
58.950692;0.844404;
59.116151;0.843453;
59.282074;0.842501;
59.448463;0.841548;
59.615319;0.840595;
59.782643;0.839641;
59.950437;0.838686;
60.118702;0.837730;
60.287440;0.836774;
